_id,lang,tln,cc,loc,p,tlt,plt,t,cr/$date,acr/$date,pln,flrs,f,uid
907538382405980161,en,75.06272,IN,manila,1wwwewewert,12.67467,12.67467,"RT @PhilippineStar: LOOK: Heavy downpour brought by tropical storm #MaringPH caused floods in España, Manila. https://t.co/pTjnjrXURe",2017-09-12T04:06:26.000Z,2010-11-08T02:52:43.000Z,75.06272,35,1e222211,213207070
907541577311993857,en,77.30195,IN,north east,1wwwewewert,28.6869,28.6869,"RT @NamoApp: Narendra Modi sanctions Rs 100 cr for action plan to tackle recurrent floods in North East
https://t.co/dVGEkAlJIw https://t.c…",2017-09-12T04:19:07.000Z,2015-11-01T02:33:17.000Z,77.30195,2928,1e222211,4088567898
907542630468395009,en,86.01984,IN,bor,1wwwewewert,25.92411,25.92411,Floods submerge four villages in Bor County. Women and children in desperate need of assistance #SouthSudan… https://t.co/bYgqATzeXN,2017-09-12T04:23:19.000Z,2015-03-24T01:46:41.000Z,86.01984,6491,1e222211,3109694326
907543084380119040,en,76.97021,IN,india,1wwwewewert,22.20775,22.20775,"Of late, several #cities in #India have been hit by #floods. Analysts urge strict checks on #urban land use:… https://t.co/nh2jhYssEL",2017-09-12T04:25:07.000Z,2009-08-11T09:00:11.000Z,76.97021,11652,1e222211,64727768
907543107717144576,en,86.01984,IN,bor,1wwwewewert,25.92411,25.92411,RT @RadioMiraya: Floods submerge four villages in Bor County. Women and children in desperate need of assistance #SouthSudan… ,2017-09-12T04:25:12.000Z,2007-04-09T05:48:58.000Z,86.01984,40673,1e222211,3889631
907543738783633408,en,71.5,IN,barmer,1wwwewewert,25.75,25.75,"RT @ashokgehlot51: One mnth aftr floods, ppl in Barmer hv not received any relief so far, ration shops hv run out of stocks….waters r… ",2017-09-12T04:27:43.000Z,2017-07-03T13:04:31.000Z,71.5,24,1e222211,881944257627529216
907545738858577920,en,80.03853,IN,bihar,1wwwewewert,27.07982,27.07982,RT @narendramodi: In Bihar today to review the situation arising due to the floods in the state.,2017-09-12T04:35:40.000Z,2017-08-13T09:11:33.000Z,80.03853,1,1e222211,896743532777492480
907545897738874880,en,86.01984,IN,bor,1wwwewewert,25.92411,25.92411,RT @RadioMiraya: Floods submerge four villages in Bor County. Women and children in desperate need of assistance #SouthSudan… ,2017-09-12T04:36:18.000Z,2011-07-12T06:18:22.000Z,86.01984,401,1e222211,333981926
907546988874489856,en,72.84962,IN,mumbai,1wwwewewert,18.95963,18.95963,"RT @anandmahindra: And here in Mumbai,a friend stuck in a car to the airport for 5 hrs told me that slumdwellers came out to serve str… ",2017-09-12T04:40:38.000Z,2017-04-26T05:49:25.000Z,72.84962,41,1e222211,857192386509897728
907547550558830592,en,75.06272,IN,manila,1wwwewewert,12.67467,12.67467,"#Maring floods #Malate - UN, Taft &amp; Adriatico - Pedicabs save the day #Manila #Philippines #floodPH https://t.co/D1i60wr8mQ",2017-09-12T04:42:52.000Z,2012-08-03T01:31:35.000Z,75.06272,137,1e222211,734352110
907548005699596289,en,75.98586,IN,god,1wwwewewert,28.10843,28.10843,"RT @tommychong: Earthquakes; floods,fires,sounds biblical and it is. Trust in God and She will be with you till the end of time. Make huma…",2017-09-12T04:44:40.000Z,2012-01-30T01:59:55.000Z,75.98586,55,1e222211,478400942
907549150874664960,en,75.88619,IN,kano,1wwwewewert,33.08704,33.08704,"RT @SolomonOdunayo1: Flooding exhumes dead bodies out of grave in Kano
https://t.co/xLUe9ZEE9A
#flooding #floods #Nigeria #kanozo0… ",2017-09-12T04:49:13.000Z,2014-02-11T12:37:24.000Z,75.88619,47,1e222211,2338763336
907550525276643328,en,79.44226,IN,china,1wwwewewert,29.40435,29.40435,"RT @AskAnshul: Fresh floods in 5 Assam districts, 72,000 people hit. China didnt share monsoon river data this year. Somehow it affecting…",2017-09-12T04:54:41.000Z,2011-06-05T23:24:13.000Z,79.44226,204,1e222211,311847704
907550830269792256,en,75.06272,IN,manila,1wwwewewert,12.67467,12.67467,"#Manila #Weather LOOK: Maring floods Metro Manila, nearby areas As of this posting, the Metropolitan Manila Deve… https://t.co/yA4sX3pFMT",2017-09-12T04:55:54.000Z,2016-02-05T21:59:03.000Z,75.06272,223,1e222211,695811411994349568
907550931004391424,en,76.97021,IN,india,1wwwewewert,22.20775,22.20775,"RT @THEnergyNet: #Minigrids deliver in #India #floods

#solar #renewables #EnergyAccess #RuralElectrification #EnergyStorage… ",2017-09-12T04:56:18.000Z,2011-08-21T15:51:21.000Z,76.97021,82,1e222211,359595952
907551048742531072,en,80.26483,IN,chennai,1wwwewewert,13.08891,13.08891,Viewpoint: Why poor planning leads to floods in Chennai and Houston - BBC News https://t.co/5SViWDboLZ,2017-09-12T04:56:46.000Z,2009-02-14T20:14:28.000Z,80.26483,1128,1e222211,20885975
907551162513154048,en,79.44226,IN,china,1wwwewewert,29.40435,29.40435,#China has managed to avert the desert &amp; set a target: to reduce by 50 per cent all of its desertified areas by… https://t.co/g6aBg9lTmz,2017-09-12T04:57:13.000Z,2010-09-17T02:50:09.000Z,79.44226,209,1e222211,191760377
907551481565396992,en,80.26483,IN,chennai,1wwwewewert,13.08891,13.08891,RT @Castoutgoback: Viewpoint: Why poor planning leads to floods in Chennai and Houston - BBC News https://t.co/5SViWDboLZ,2017-09-12T04:58:29.000Z,2012-03-07T18:01:50.000Z,80.26483,1544,1e222211,518028385
907551508610379776,en,93,IN,assam,1wwwewewert,26,26,"In the face of devastating floods, a duo from Assam is raising relief through crowdfunding https://t.co/cyyO7yYEYt https://t.co/yhzjav3Vh7",2017-09-12T04:58:35.000Z,2013-11-25T09:42:05.000Z,93,46,1e222211,2214219936
907551534346469376,en,74.87938,IN,langar,1wwwewewert,32.67009,32.67009,"RT @amarpreet1313: Bihar Floods: Langar for 1500 people
Today @Khalsa_Aid setting up Langar (community kitchen)for 1500 people in the… ",2017-09-12T04:58:41.000Z,2017-07-23T03:22:58.000Z,74.87938,552,1e222211,889045664751079424
907551975100760064,en,85.19953,IN,asia,1wwwewewert,25.38954,25.38954,"RT @Boutaina: While the world is focused on the devastating floods in #Houston, floods in #Asia have put 137 million lives at ris… ",2017-09-12T05:00:27.000Z,2015-03-21T19:59:02.000Z,85.19953,2398,1e222211,3102351716
907552044377972740,en,79.75,IN,ap,1wwwewewert,15.83333,15.83333,"WHATS HAPPENING: Deaths, floods, misery from Irma hit South (from @AP) https://t.co/JA3FE0SpTc",2017-09-12T05:00:43.000Z,2009-04-17T17:08:23.000Z,79.75,2113,1e222211,32633111
907552625867890688,en,71.5,IN,gujarat,1wwwewewert,22.85,22.85,"RT @SamraatD: At the time of floods in Gujarat  Rahul Gandhi visited on the ground affected areas, Modi was as usual roaming in air  #Samva…",2017-09-12T05:03:02.000Z,2016-05-24T08:15:29.000Z,71.5,46,1e222211,735104434389147648
907554365346643968,en,86.01984,IN,bor,1wwwewewert,25.92411,25.92411,RT @RadioMiraya: Floods submerge four villages in Bor County. Women and children in desperate need of assistance #SouthSudan… ,2017-09-12T05:09:56.000Z,2014-01-14T14:31:21.000Z,86.01984,1512,1e222211,2291628254
907555739329105920,en,85.19953,IN,asia,1wwwewewert,25.38954,25.38954,"RT @Boutaina: While the world is focused on the devastating floods in #Houston, floods in #Asia have put 137 million lives at ris… ",2017-09-12T05:15:24.000Z,2009-06-17T02:00:16.000Z,85.19953,2325,1e222211,47889092
907556582858285056,en,85.19953,IN,asia,1wwwewewert,25.38954,25.38954,"RT @Boutaina: While the world is focused on the devastating floods in #Houston, floods in #Asia have put 137 million lives at ris… ",2017-09-12T05:18:45.000Z,2010-04-28T22:19:48.000Z,85.19953,1119,1e222211,138287230
907556764291174400,en,79.96487,IN,pandai,1wwwewewert,22.10381,22.10381,"RT @JamwalNidhi: Who would believe this semi-dry, calm Pandai river on India-Nepal border brought unprecedented floods on Aug 12 nig… ",2017-09-12T05:19:28.000Z,2009-07-04T05:59:25.000Z,79.96487,811,1e222211,53650817
907556878200315905,en,71.5,IN,barmer,1wwwewewert,25.75,25.75,"RT @ashokgehlot51: One mnth aftr floods, ppl in Barmer hv not received any relief so far, ration shops hv run out of stocks….waters r… ",2017-09-12T05:19:56.000Z,2017-06-27T11:53:00.000Z,71.5,8,1e222211,879751932960690176
907556944189177860,en,76.97021,IN,india,1wwwewewert,22.20775,22.20775,"RT @soilditem: @Suhana41 @sanataninternet @ANI Thank you India for sending #RGinUS Amid north Korea, Irma Hurricane, Floods etc, w… ",2017-09-12T05:20:11.000Z,2011-08-23T02:56:41.000Z,76.97021,658,1e222211,360480624
